City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lorengau,-2.0226,147.2712,27.96,81,67,3.06,PG,1695506221
84,valparaiso,-33.0393,-71.6273,17.13,69,20,5.66,CL,1695506190
85,calama,-22.4667,-68.9333,25.27,6,0,9.77,CL,1695506222
86,nemuro,43.3236,145.575,15.07,68,35,2.91,JP,1695506222
87,nefteyugansk,61.0998,72.6035,7.76,66,100,10.28,RU,1695506222
88,pratapgarh,24.0333,74.7833,23.36,95,97,3.26,IN,1695506222
89,constantia,44.1833,28.65,21.5,83,0,4.31,RO,1695506223
90,yuzhno-kurilsk,44.0306,145.8556,14.45,69,0,1.44,RU,1695506223
91,edinburgh of the seven seas,-37.0676,-12.3116,14.83,92,100,19.39,SH,1695506224
92,kargasok,59.0556,80.8572,1.77,83,100,5.02,RU,1695506224
93,vernon,50.2581,-119.2691,19.78,56,100,1.03,CA,1695506224
94,vilyuchinsk,52.9306,158.4028,10.15,68,63,5.65,RU,1695506224
95,manta,-0.95,-80.7333,27.88,74,40,4.12,EC,1695506225
96,cabo san lucas,22.8909,-109.9124,37.01,61,2,5.34,MX,1695505630
97,hirado,33.3597,129.5531,22.44,63,76,11.45,JP,1695506225
98,kodiak,57.79,-152.4072,9.73,76,75,3.6,US,1695506226
99,okeho,8.0333,3.35,21.37,90,97,1.89,NG,1695506226
100,port elizabeth,-33.918,25.5701,14.62,95,100,4.02,ZA,1695506226
101,hun,29.1268,15.9477,29.04,18,11,3.88,LY,1695506226
102,aasiaat,68.7098,-52.8699,-4.16,67,0,2.73,GL,1695506227
103,nueva gerona,21.8833,-82.8,30.03,61,74,2.37,CU,1695506227
104,klyuchi,52.2667,79.1667,7.59,58,98,3.72,RU,1695506227
105,buguruslan,53.6554,52.442,15.69,76,0,0.37,RU,1695506228
106,brookings,44.3114,-96.7984,19.19,88,100,1.54,US,1695506188
107,januaria,-15.4833,-44.3667,28.52,28,5,1.84,BR,1695506228
108,swan hill,-35.3378,143.5544,14.35,39,0,4.26,AU,1695505960
109,ribeira grande,38.5167,-28.7,21.54,89,19,1.79,PT,1695505670
110,sosnovka,56.255,51.2842,14.59,83,2,1.66,RU,1695506229
111,kapuskasing,49.4169,-82.4331,20.05,60,75,3.6,CA,1695506229
112,la leonesa,-27.0379,-58.7035,30.01,25,16,1.81,AR,1695506229
113,georgetown,5.4112,100.3354,25.57,91,40,5.36,MY,1695506230
114,tazovsky,67.4667,78.7,-0.62,84,65,4.78,RU,1695506230
115,college,64.8569,-147.8028,8.58,70,40,1.54,US,1695506230
116,avarua,-21.2078,-159.775,21.03,56,75,4.12,CK,1695506063
117,portland,45.5234,-122.6762,20.99,61,100,2.57,US,1695506101
118,baise city,23.8997,106.6133,23.19,93,6,0.86,CN,1695506231
119,la pineda,41.0762,1.1852,19.62,64,0,1.54,ES,1695506231
120,zhangjiakou,40.81,114.8794,13.4,74,100,1.9,CN,1695506232
121,prakhon chai,14.6059,103.1208,24.68,87,7,1.3,TH,1695506232
122,whitehorse,60.7161,-135.0538,9.5,64,75,4.63,CA,1695506232
123,kasserine,35.1676,8.8365,17.72,72,87,4.65,TN,1695506232
124,festus,38.2206,-90.396,29.7,58,52,3.03,US,1695506233
125,lae,-6.7221,146.9847,23.37,91,100,1.69,PG,1695506233
126,udachny,66.4167,112.4,8.03,93,86,3.11,RU,1695506234
127,minas de marcona,-15.2119,-75.1103,15.93,76,27,6.95,PE,1695506234
128,antsiranana,-12.2787,49.2917,23.11,77,40,8.34,MG,1695506234
129,thompson,55.7435,-97.8558,22.09,37,20,3.09,CA,1695506234
130,inarajan village,13.2736,144.7484,29.66,91,41,2.22,GU,1695506235
131,mayfield,36.7417,-88.6367,32.07,48,0,2.1,US,1695506235
132,kovernino,57.1253,43.8142,13.51,71,0,2.83,RU,1695506235
133,saudarkrokur,65.7461,-19.6394,3.94,93,100,1.17,IS,1695506236
134,wanganui,-39.9333,175.05,12.55,80,100,8.49,NZ,1695505992
135,whakatane,-37.9585,176.9854,16.54,99,100,2.03,NZ,1695506236
136,san luis de la loma,17.2706,-100.8939,30.48,75,53,2.17,MX,1695506236
137,esmeraldas,-19.7625,-44.3139,31.48,30,54,1.96,BR,1695506237
138,selkirk,50.1436,-96.8845,20.61,49,98,7.08,CA,1695506230
139,nuku'alofa,-21.1333,-175.2,22.19,78,75,9.26,TO,1695506237
140,vadso,70.0744,29.7487,7.49,81,40,3.6,NO,1695506238
141,port blair,11.6667,92.75,25.02,94,100,1.03,IN,1695505960
142,tateyama,34.9833,139.8667,22.28,71,100,8.84,JP,1695506238
143,east london,-33.0153,27.9116,17.82,92,100,7.78,ZA,1695506238
144,kalabo,-14.97,22.6814,23.47,22,36,2.12,ZM,1695506239
145,san antonio de pale,-1.4014,5.6325,24.54,82,70,3.58,GQ,1695506239
146,beau vallon,-20.4189,57.6953,23.45,73,75,7.2,MU,1695506239
147,zhaoyuan,37.3592,120.3964,17.3,92,47,2.29,CN,1695506240
148,alofi,-19.0595,-169.9187,24.94,44,76,10.29,NU,1695506240
149,pangody,65.85,74.4859,-0.45,79,81,1.56,RU,1695506240
150,onega,63.9061,38.1404,16.37,73,59,5.5,RU,1695506240
151,dudinka,69.4058,86.1778,1.46,88,72,6.53,RU,1695506241
152,olonkinbyen,70.9221,-8.7187,2.03,71,100,3.44,SJ,1695506241
153,key west,24.5557,-81.7826,28.33,78,100,3.09,US,1695506241
154,nar'yan-mar,67.6713,53.087,13.67,88,86,7.88,RU,1695506242
155,puerto lempira,15.2667,-83.7667,31.08,66,20,2.06,HN,1695506242
156,kavieng,-2.5744,150.7967,28.1,80,21,6.05,PG,1695506242
157,walvis bay,-22.9575,14.5053,13.53,82,23,1.03,NA,1695506243
158,bredasdorp,-34.5322,20.0403,11.37,91,100,6.38,ZA,1695506243
159,praia da vitoria,38.7333,-27.0667,23.14,78,75,4.69,PT,1695506243
160,kununurra,-15.7667,128.7333,15.99,88,95,0.0,AU,1695506244
161,abepura,-2.6333,140.5833,24.45,88,75,1.03,ID,1695506244
162,wesselsbron,-27.8549,26.3658,19.26,36,97,0.47,ZA,1695506244
163,hadibu,12.65,54.0333,26.77,82,86,6.15,YE,1695506244
164,aginskoye,51.1,114.53,9.41,85,100,4.51,RU,1695506245
165,nuuk,64.1835,-51.7216,2.71,55,9,3.58,GL,1695506245
166,cill airne,52.05,-9.5167,14.82,93,99,3.07,IE,1695506245
167,gwadar,25.1216,62.3254,26.39,79,13,2.35,PK,1695506245
168,san fernando de apure,7.8878,-67.4724,27.5,86,88,1.3,VE,1695506246
169,nyurba,63.2842,118.3319,7.75,96,96,1.55,RU,1695506246
170,whangarei,-35.7317,174.3239,12.2,94,100,2.71,NZ,1695506246
171,illizi,26.4833,8.4667,31.89,13,78,5.09,DZ,1695506246
172,tofol,5.3248,163.0078,27.88,78,100,4.18,FM,1695506247
173,howard springs,-12.497,131.047,25.95,79,57,1.3,AU,1695506247
174,ventspils,57.3894,21.5606,13.96,94,40,1.54,LV,1695506247
175,dampit,-8.2116,112.7493,19.04,93,100,1.64,ID,1695506248
176,brandon,27.9378,-82.2859,31.61,52,0,2.24,US,1695506248
177,mildura,-34.2,142.15,15.04,57,0,6.12,AU,1695506248
178,gadzhiyevo,69.2551,33.3362,8.16,90,100,7.12,RU,1695506248
179,lerwick,60.1545,-1.1494,7.0,64,100,2.03,GB,1695506249
180,leninskoye,41.7589,69.3864,14.81,34,0,1.4,KZ,1695506249
181,tura,25.5198,90.2201,22.54,98,100,1.56,IN,1695506249
182,sampit,-2.5333,112.95,22.42,96,100,0.32,ID,1695506249
183,arraial do cabo,-22.9661,-42.0278,21.98,88,0,3.6,BR,1695506250
184,luwuk,-0.9516,122.7875,23.23,76,16,2.18,ID,1695506250
185,slave lake,55.2834,-114.769,20.99,52,0,7.2,CA,1695506250
186,lazaro cardenas,17.9583,-102.2,30.94,74,10,4.6,MX,1695506251
187,jamestown,42.097,-79.2353,19.77,41,0,4.12,US,1695506177
188,funafuti,-8.5243,179.1942,27.44,83,100,7.72,TV,1695506251
189,sao felix do xingu,-6.6447,-51.995,30.04,41,90,1.29,BR,1695506252
190,luang prabang,19.8856,102.1347,22.23,99,60,0.18,LA,1695506252
191,al qadarif,14.0349,35.3834,27.47,64,62,3.82,SD,1695506252
192,st. john's,47.5649,-52.7093,15.15,88,75,9.77,CA,1695505972
193,rio grande,-32.035,-52.0986,19.06,99,100,1.46,BR,1695506253
194,vila franca do campo,37.7167,-25.4333,24.93,99,11,4.32,PT,1695506253
195,susuman,62.7833,148.1667,-1.08,79,97,0.54,RU,1695506253
196,masterton,-40.9597,175.6575,9.59,96,100,2.13,NZ,1695506254
197,charters towers,-20.1,146.2667,18.86,56,0,6.04,AU,1695506254
198,mersa matruh,31.3525,27.2453,26.11,78,0,2.57,EG,1695506254
199,palmer,42.1584,-72.3287,14.9,75,100,4.63,US,1695506103
200,lebu,-37.6167,-73.65,9.68,69,2,4.97,CL,1695506255
201,vodnyy,63.5046,53.4095,14.31,88,76,4.01,RU,1695506255
202,nova vicosa,-17.8919,-39.3719,24.04,82,79,6.59,BR,1695506255
203,san julian,21.0167,-102.1667,29.11,21,5,2.34,MX,1695506256
204,happy valley-goose bay,53.3168,-60.3315,12.17,62,20,5.14,CA,1695506256
205,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,5.14,EC,1695506256
206,lata,40.1629,-8.3327,17.18,72,6,1.07,PT,1695506256
207,fortaleza,-3.7227,-38.5247,27.07,78,0,4.12,BR,1695505991
